index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,40.878735,-7.681366,794.0,2007-06-18 00:00:00,11.8,96,11.3,11.1,0.0,0.0,0.0,0.0,3,1012.7,921.5,94,86,27,0,0.0,0.05,7.7,14.2,233,234,22.7,13.7,15.1,14.5,11.8,0.382,0.37,0.304,0.364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,40.878735,-7.681366,794.0,2007-06-18 01:00:00,11.7,97,11.3,11.0,0.0,0.0,0.0,0.0,3,1012.5,921.3,84,87,10,0,0.0,0.04,7.2,13.0,217,222,22.0,13.5,15.0,14.5,11.8,0.381,0.37,0.304,0.364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,40.878735,-7.681366,794.0,2007-06-18 02:00:00,11.6,98,11.3,11.0,0.0,0.0,0.0,0.0,3,1012.2,921.0,87,91,8,0,0.0,0.03,7.3,13.0,200,208,22.0,13.4,14.9,14.5,11.8,0.38,0.37,0.304,0.364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,40.878735,-7.681366,794.0,2007-06-18 03:00:00,11.6,98,11.3,10.9,0.0,0.0,0.0,0.0,3,1012.0,920.8,96,100,10,0,0.0,0.03,7.5,12.8,197,202,21.6,13.3,14.8,14.4,11.8,0.38,0.37,0.304,0.364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,40.878735,-7.681366,794.0,2007-06-18 04:00:00,11.9,95,11.1,11.2,0.0,0.0,0.0,0.0,3,1011.8,920.7,86,90,8,0,0.0,0.08,7.3,12.0,189,196,21.6,13.4,14.7,14.4,11.8,0.38,0.37,0.305,0.364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,40.878735,-7.681366,794.0,2007-06-18 05:00:00,11.9,94,11.0,11.2,0.0,0.0,0.0,0.0,3,1011.5,920.5,88,96,2,0,0.0,0.08,7.2,11.7,183,189,20.9,13.4,14.6,14.4,11.8,0.379,0.37,0.305,0.364,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,40.878735,-7.681366,794.0,2007-06-18 06:00:00,12.0,94,11.0,11.3,0.0,0.0,0.0,0.0,3,1011.9,920.9,90,98,3,0,0.02,0.09,7.2,11.2,174,178,20.5,13.4,14.5,14.4,11.8,0.379,0.37,0.305,0.364,1,0.0,17.0,1.0,16.0,8.5,17.0,100.5,36.8,2.2,34.7,13.2,23.6,217.6,,,,,,
2224,2224,40.878735,-7.681366,794.0,2007-06-18 07:00:00,12.7,89,11.0,11.8,0.0,0.0,0.0,0.0,2,1012.1,921.3,68,73,4,0,0.05,0.16,8.5,11.7,168,171,22.0,13.8,14.4,14.4,11.8,0.379,0.37,0.305,0.364,1,437.82,96.0,19.0,77.0,74.6,96.0,337.5,130.1,25.8,104.4,74.6,130.1,457.6,,,,,,
2223,2223,40.878735,-7.681366,794.0,2007-06-18 08:00:00,13.5,83,10.6,12.1,0.0,0.0,0.0,0.0,2,1012.0,921.4,50,53,4,0,0.13,0.26,10.5,13.7,176,177,25.9,14.5,14.4,14.4,11.8,0.379,0.369,0.305,0.364,1,3600.0,264.0,130.0,134.0,299.6,264.0,575.0,316.7,156.0,160.8,299.6,316.7,689.9,,,,,,
2222,2222,40.878735,-7.681366,794.0,2007-06-18 09:00:00,14.7,75,10.3,12.8,0.0,0.0,0.0,0.0,2,1011.8,921.6,71,78,2,0,0.19,0.42,13.7,18.1,185,185,32.0,15.2,14.5,14.4,11.8,0.379,0.369,0.305,0.364,1,3600.0,347.0,190.0,157.0,316.0,347.0,796.8,391.3,214.3,177.1,316.0,391.3,898.6,,,,,,
