index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,41.441124,-8.028809,284.0,2003-05-12 00:00:00,11.8,87,9.7,11.4,0.0,0.0,0.0,0.0,0,1022.2,988.1,0,0,0,0,0.0,0.18,2.3,4.3,72,5,7.2,13.0,16.6,13.6,11.4,0.308,0.34,0.382,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,41.441124,-8.028809,284.0,2003-05-12 01:00:00,10.3,90,8.8,9.5,0.0,0.0,0.0,0.0,0,1022.0,987.7,0,0,0,0,0.0,0.12,3.0,4.8,76,13,6.8,12.4,16.3,13.6,11.4,0.309,0.34,0.382,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,41.441124,-8.028809,284.0,2003-05-12 02:00:00,8.4,97,7.9,7.3,0.0,0.0,0.0,0.0,0,1021.5,987.0,0,0,0,0,0.0,0.04,3.6,5.5,84,32,7.2,11.9,16.0,13.6,11.4,0.309,0.34,0.381,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,41.441124,-8.028809,284.0,2003-05-12 03:00:00,7.7,99,7.6,6.5,0.0,0.0,0.0,0.0,0,1021.3,986.7,2,2,0,0,0.0,0.01,4.0,5.6,95,45,7.9,11.5,15.6,13.7,11.4,0.31,0.34,0.381,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,41.441124,-8.028809,284.0,2003-05-12 04:00:00,7.6,99,7.4,6.4,0.0,0.0,0.0,0.0,0,1021.6,987.0,0,0,0,0,0.0,0.01,3.6,4.3,90,48,10.1,11.3,15.3,13.7,11.4,0.31,0.34,0.381,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,41.441124,-8.028809,284.0,2003-05-12 05:00:00,7.8,98,7.5,6.9,0.0,0.0,0.0,0.0,2,1021.6,987.0,64,71,0,0,0.0,0.02,2.2,2.9,81,353,10.8,11.1,15.0,13.7,11.4,0.311,0.34,0.381,0.416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,41.441124,-8.028809,284.0,2003-05-12 06:00:00,8.1,98,7.8,7.3,0.0,0.0,0.0,0.0,2,1022.0,987.5,64,71,0,0,0.01,0.03,1.8,3.3,79,347,11.9,11.2,14.7,13.7,11.4,0.312,0.34,0.381,0.416,1,0.0,15.0,5.0,10.0,52.9,15.0,67.7,34.6,11.5,23.1,99.0,18.5,156.2,,,,,,
2224,2224,41.441124,-8.028809,284.0,2003-05-12 07:00:00,11.6,89,9.9,11.2,0.0,0.0,0.0,0.0,2,1022.4,988.3,65,72,0,0,0.05,0.15,3.0,1.6,104,27,12.6,12.6,14.6,13.7,11.5,0.312,0.339,0.381,0.416,1,3600.0,136.0,64.0,72.0,305.3,136.0,281.1,196.3,92.4,103.9,305.3,196.3,405.9,,,,,,
2223,2223,41.441124,-8.028809,284.0,2003-05-12 08:00:00,15.6,72,10.6,15.7,0.0,0.0,0.0,0.0,1,1022.5,988.8,47,52,0,0,0.16,0.49,0.7,0.0,180,180,12.6,15.2,14.6,13.7,11.5,0.312,0.339,0.381,0.416,1,3600.0,303.0,184.0,119.0,467.6,303.0,527.8,371.2,225.4,145.8,467.6,371.2,646.6,,,,,,
2222,2222,41.441124,-8.028809,284.0,2003-05-12 09:00:00,17.7,55,8.5,16.8,0.0,0.0,0.0,0.0,0,1022.6,989.2,2,2,0,0,0.29,0.92,3.9,4.7,292,293,15.1,17.5,14.8,13.7,11.5,0.311,0.339,0.381,0.416,1,3600.0,511.0,376.0,135.0,666.0,511.0,757.1,581.8,428.1,153.7,666.0,581.8,862.0,,,,,,
