index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,38.418278,-8.658539,19.0,2003-05-02 00:00:00,14.1,87,12.0,13.6,0.0,0.0,0.0,0.0,2,1020.6,1018.3,66,71,4,0,0.0,0.2,7.6,14.8,267,273,13.7,14.6,16.8,15.6,14.5,0.203,0.225,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,38.418278,-8.658539,19.0,2003-05-02 01:00:00,14.0,89,12.2,13.6,0.0,0.0,0.0,0.0,2,1019.8,1017.5,79,85,4,0,0.0,0.18,7.6,15.0,278,280,14.0,14.4,16.6,15.6,14.5,0.203,0.224,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,38.418278,-8.658539,19.0,2003-05-02 02:00:00,14.0,90,12.4,13.6,0.0,0.0,0.0,0.0,2,1019.7,1017.4,59,64,2,0,0.0,0.15,7.6,14.6,289,290,14.0,14.2,16.4,15.6,14.5,0.203,0.224,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,38.418278,-8.658539,19.0,2003-05-02 03:00:00,13.9,92,12.6,13.4,0.0,0.0,0.0,0.0,1,1019.6,1017.3,27,29,1,0,0.0,0.13,8.5,13.9,298,301,13.7,14.2,16.2,15.6,14.5,0.204,0.224,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,38.418278,-8.658539,19.0,2003-05-02 04:00:00,13.6,94,12.6,13.2,0.0,0.0,0.0,0.0,1,1019.3,1017.0,23,26,0,0,0.0,0.1,8.7,15.5,312,312,14.0,14.1,16.0,15.6,14.5,0.204,0.224,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,38.418278,-8.658539,19.0,2003-05-02 05:00:00,13.3,95,12.5,12.6,0.0,0.0,0.0,0.0,1,1019.5,1017.2,22,25,0,0,0.0,0.08,10.2,17.7,321,321,15.1,13.9,15.9,15.6,14.5,0.204,0.224,0.229,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,38.418278,-8.658539,19.0,2003-05-02 06:00:00,13.1,95,12.3,12.2,0.0,0.0,0.0,0.0,1,1019.8,1017.5,34,38,0,0,0.02,0.08,11.1,18.8,331,331,17.3,13.8,15.7,15.6,14.5,0.204,0.224,0.229,0.244,1,0.0,3.0,0.0,3.0,0.0,3.0,30.1,8.0,0.0,8.0,0.0,2.7,80.2,,,,,,
2224,38.418278,-8.658539,19.0,2003-05-02 07:00:00,13.7,92,12.4,12.4,0.0,0.0,0.0,0.0,1,1020.1,1017.8,42,47,0,0,0.04,0.13,13.9,19.2,343,343,21.6,14.3,15.6,15.6,14.5,0.205,0.224,0.229,0.244,1,3361.31,75.0,37.0,38.0,224.5,75.0,213.3,121.8,60.1,61.7,233.8,116.9,346.3,,,,,,
2223,38.418278,-8.658539,19.0,2003-05-02 08:00:00,14.6,84,11.8,12.7,0.0,0.0,0.0,0.0,2,1020.6,1018.3,50,56,0,0,0.11,0.27,16.4,20.8,351,351,27.4,15.4,15.6,15.6,14.5,0.204,0.223,0.229,0.244,1,3600.0,211.0,110.0,101.0,311.1,211.0,476.6,267.3,139.4,128.0,311.1,267.3,603.8,,,,,,
2222,38.418278,-8.658539,19.0,2003-05-02 09:00:00,15.5,73,10.7,13.3,0.0,0.0,0.0,0.0,3,1021.2,1018.9,80,89,0,0,0.2,0.48,16.3,20.6,354,354,29.2,16.5,15.7,15.6,14.5,0.204,0.223,0.229,0.244,1,3600.0,368.0,226.0,142.0,421.6,368.0,722.4,425.4,261.3,164.2,421.6,425.4,835.1,,,,,,
2221,38.418278,-8.658539,19.0,2003-05-02 10:00:00,16.2,68,10.2,14.3,0.0,0.0,0.0,0.0,3,1021.0,1018.7,82,91,0,0,0.24,0.6,13.0,16.3,3,5,28.8,17.4,15.8,15.6,14.5,0.203,0.223,0.229,0.244,1,3600.0,430.0,178.0,252.0,256.8,430.0,934.0,471.7,195.3,276.4,256.8,471.7,1024.6,,,,,,
2220,38.418278,-8.658539,19.0,2003-05-02 11:00:00,16.9,64,10.0,15.2,0.0,0.0,0.0,0.0,3,1021.4,1019.1,80,89,0,0,0.32,0.7,12.2,14.8,360,1,28.1,18.6,16.0,15.6,14.5,0.202,0.222,0.229,0.244,1,3600.0,559.0,230.0,329.0,282.5,559.0,1097.0,590.7,243.1,347.7,282.5,590.7,1159.2,,,,,,
2219,38.418278,-8.658539,19.0,2003-05-02 12:00:00,17.7,60,9.8,16.8,0.0,0.0,0.0,0.0,1,1021.1,1018.8,50,55,0,0,0.39,0.81,11.3,13.8,351,353,27.0,19.8,16.3,15.6,14.5,0.2,0.222,0.229,0.244,1,3600.0,690.0,346.0,344.0,388.4,690.0,1200.2,707.1,354.6,352.5,388.4,707.1,1230.0,,,,,,
2218,38.418278,-8.658539,19.0,2003-05-02 13:00:00,18.5,57,9.8,18.2,0.0,0.0,0.0,0.0,1,1020.8,1018.5,22,25,0,0,0.47,0.92,12.6,15.5,340,342,26.6,21.0,16.6,15.6,14.5,0.198,0.221,0.228,0.244,1,3600.0,832.0,562.0,270.0,612.3,832.0,1236.8,828.7,559.8,268.9,612.3,828.7,1232.0,,,,,,
2217,38.418278,-8.658539,19.0,2003-05-02 14:00:00,19.2,54,9.6,18.6,0.0,0.0,0.0,0.0,1,1020.5,1018.2,29,32,0,0,0.49,1.02,14.7,17.9,335,338,27.4,21.8,16.9,15.6,14.5,0.196,0.22,0.228,0.244,1,3600.0,864.0,673.0,191.0,753.1,864.0,1204.2,836.0,651.2,184.8,753.1,836.0,1165.1,,,,,,
2216,38.418278,-8.658539,19.0,2003-05-02 15:00:00,19.7,52,9.4,18.6,0.0,0.0,0.0,0.0,0,1020.2,1017.9,11,12,0,0,0.47,1.11,15.8,19.7,333,336,29.2,22.1,17.3,15.6,14.5,0.194,0.22,0.228,0.244,1,3600.0,818.0,647.0,171.0,789.2,818.0,1104.6,765.7,605.6,160.1,789.2,765.7,1034.0,,,,,,
2215,38.418278,-8.658539,19.0,2003-05-02 16:00:00,19.7,52,9.4,17.7,0.0,0.0,0.0,0.0,0,1019.6,1017.3,1,0,0,4,0.41,1.11,16.9,21.8,333,338,30.2,21.8,17.6,15.7,14.5,0.192,0.219,0.228,0.244,1,3600.0,682.0,560.0,122.0,798.5,682.0,944.9,611.7,502.3,109.4,798.5,611.7,847.5,,,,,,
2214,38.418278,-8.658539,19.0,2003-05-02 17:00:00,19.4,53,9.4,16.5,0.0,0.0,0.0,0.0,0,1019.6,1017.3,9,0,0,31,0.32,1.07,18.7,24.6,335,339,31.0,21.1,17.8,15.7,14.5,0.191,0.218,0.228,0.244,1,3600.0,521.0,426.0,95.0,779.9,521.0,736.0,437.8,358.0,79.8,779.9,437.8,618.5,,,,,,
2213,38.418278,-8.658539,19.0,2003-05-02 18:00:00,18.7,55,9.5,15.7,0.0,0.0,0.0,0.0,0,1019.5,1017.2,12,0,0,40,0.22,0.96,19.2,27.2,337,340,31.7,19.9,17.9,15.7,14.5,0.19,0.218,0.228,0.244,1,3600.0,319.0,245.0,74.0,670.8,319.0,492.1,235.0,180.5,54.5,670.8,235.0,362.5,,,,,,
2212,38.418278,-8.658539,19.0,2003-05-02 19:00:00,17.6,61,9.9,14.6,0.0,0.0,0.0,0.0,0,1019.8,1017.5,10,0,0,33,0.13,0.79,20.2,30.6,338,342,31.7,18.5,17.9,15.7,14.5,0.19,0.218,0.228,0.244,1,3587.73,122.0,78.0,44.0,456.3,122.0,229.8,51.5,32.9,18.6,377.6,51.4,97.0,,,,,,
2211,38.418278,-8.658539,19.0,2003-05-02 20:00:00,16.2,65,9.7,13.2,0.0,0.0,0.0,0.0,0,1020.1,1017.8,5,0,0,18,0.09,0.64,19.9,31.8,343,347,32.0,17.1,17.8,15.7,14.5,0.19,0.218,0.228,0.244,0,0.0,7.0,2.0,5.0,27.6,7.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2210,38.418278,-8.658539,19.0,2003-05-02 21:00:00,15.0,69,9.5,12.0,0.0,0.0,0.0,0.0,0,1020.9,1018.6,0,0,0,0,0.05,0.52,19.4,31.2,350,353,32.0,16.1,17.6,15.7,14.5,0.19,0.218,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2209,38.418278,-8.658539,19.0,2003-05-02 22:00:00,14.1,74,9.4,11.3,0.0,0.0,0.0,0.0,0,1021.2,1018.9,0,0,0,0,0.04,0.42,17.8,28.5,353,356,30.6,15.4,17.4,15.7,14.5,0.19,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2208,38.418278,-8.658539,19.0,2003-05-02 23:00:00,13.3,78,9.5,10.6,0.0,0.0,0.0,0.0,0,1020.9,1018.6,0,0,0,0,0.03,0.34,17.0,27.4,356,358,28.1,14.7,17.2,15.7,14.5,0.19,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2207,38.418278,-8.658539,19.0,2003-05-03 00:00:00,12.7,81,9.5,10.2,0.0,0.0,0.0,0.0,0,1020.8,1018.5,0,0,0,0,0.02,0.28,16.2,26.3,359,360,26.3,14.2,16.9,15.7,14.5,0.19,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2206,38.418278,-8.658539,19.0,2003-05-03 01:00:00,12.1,84,9.5,9.7,0.0,0.0,0.0,0.0,0,1020.1,1017.8,0,0,0,0,0.01,0.23,15.5,25.2,360,2,24.8,13.8,16.7,15.7,14.5,0.19,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2205,38.418278,-8.658539,19.0,2003-05-03 02:00:00,11.7,86,9.4,9.4,0.0,0.0,0.0,0.0,0,1019.5,1017.2,0,0,0,0,0.01,0.2,14.8,24.5,360,1,23.8,13.4,16.4,15.7,14.5,0.191,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2204,38.418278,-8.658539,19.0,2003-05-03 03:00:00,11.4,88,9.4,9.1,0.0,0.0,0.0,0.0,0,1019.0,1016.7,0,0,0,0,0.01,0.17,14.4,23.8,360,2,22.7,13.1,16.2,15.7,14.5,0.191,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2203,38.418278,-8.658539,19.0,2003-05-03 04:00:00,11.1,89,9.3,8.9,0.0,0.0,0.0,0.0,0,1018.6,1016.3,0,0,0,0,0.0,0.15,13.8,23.2,6,7,22.0,12.8,15.9,15.7,14.5,0.191,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2202,38.418278,-8.658539,19.0,2003-05-03 05:00:00,10.9,90,9.2,8.7,0.0,0.0,0.0,0.0,0,1018.2,1015.9,0,0,0,0,0.0,0.14,13.5,22.5,16,16,21.2,12.5,15.7,15.7,14.5,0.191,0.217,0.228,0.244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2201,38.418278,-8.658539,19.0,2003-05-03 06:00:00,10.7,90,9.1,8.6,0.0,0.0,0.0,0.0,0,1017.9,1015.6,0,0,0,0,0.02,0.13,12.6,21.4,24,25,20.5,12.2,15.4,15.7,14.5,0.192,0.216,0.227,0.244,1,0.0,5.0,1.0,4.0,14.7,5.0,32.5,13.1,2.6,10.5,30.0,4.6,84.9,,,,,,
2200,38.418278,-8.658539,19.0,2003-05-03 07:00:00,11.8,87,9.7,10.0,0.0,0.0,0.0,0.0,0,1018.0,1015.7,0,0,0,0,0.04,0.18,11.8,18.2,23,27,21.2,13.0,15.3,15.7,14.5,0.192,0.216,0.227,0.244,1,3426.13,113.0,71.0,42.0,426.6,113.0,217.8,181.9,114.3,67.6,439.1,176.7,350.5,,,,,,
2199,38.418278,-8.658539,19.0,2003-05-03 08:00:00,13.8,78,10.1,12.4,0.0,0.0,0.0,0.0,0,1018.0,1015.7,0,0,0,0,0.14,0.34,10.2,13.2,23,26,21.2,15.0,15.3,15.7,14.5,0.191,0.216,0.227,0.244,1,3600.0,310.0,239.0,71.0,669.9,310.0,480.5,391.9,302.1,89.8,669.9,391.9,607.5,,,,,,
2198,38.418278,-8.658539,19.0,2003-05-03 09:00:00,16.1,70,10.6,15.0,0.0,0.0,0.0,0.0,0,1018.1,1015.8,0,0,0,0,0.26,0.55,8.8,10.6,19,24,20.2,17.3,15.4,15.7,14.5,0.191,0.216,0.227,0.244,1,3600.0,516.0,426.0,90.0,790.5,516.0,725.8,596.0,492.0,103.9,790.5,596.0,838.3,,,,,,
2197,38.418278,-8.658539,19.0,2003-05-03 10:00:00,18.1,64,11.1,18.4,0.0,0.0,0.0,0.0,0,1017.9,1015.6,0,0,0,0,0.39,0.76,6.7,8.1,16,21,18.7,19.7,15.7,15.7,14.5,0.189,0.215,0.227,0.244,1,3600.0,701.0,601.0,100.0,864.0,701.0,936.9,768.6,659.0,109.6,864.0,768.6,1027.3,,,,,,
2196,38.418278,-8.658539,19.0,2003-05-03 11:00:00,19.9,58,11.4,21.4,0.0,0.0,0.0,0.0,0,1017.8,1015.5,0,0,0,0,0.5,0.97,5.0,5.8,360,7,16.9,21.8,16.2,15.7,14.5,0.188,0.215,0.227,0.244,1,3600.0,847.0,738.0,109.0,904.0,847.0,1099.5,894.8,779.7,115.2,904.0,894.8,1161.6,,,,,,
2195,38.418278,-8.658539,19.0,2003-05-03 12:00:00,21.3,52,11.1,23.4,0.0,0.0,0.0,0.0,0,1017.2,1015.0,0,0,0,0,0.58,1.21,4.4,4.7,325,337,14.8,23.5,16.7,15.7,14.5,0.185,0.214,0.227,0.244,1,3600.0,939.0,825.0,114.0,924.0,939.0,1202.5,962.1,845.3,116.8,924.0,962.1,1232.1,7.600570861404468,87.88164985591635,22.025948532,85.3708125,3.9490535460231073,26.77913577202001
2194,38.418278,-8.658539,19.0,2003-05-03 13:00:00,22.1,51,11.5,24.4,0.0,0.0,0.0,0.0,0,1016.8,1014.6,0,0,0,0,0.61,1.3,5.4,5.2,290,304,15.5,24.7,17.2,15.7,14.5,0.183,0.213,0.227,0.243,1,3600.0,971.0,855.0,116.0,929.5,971.0,1238.9,967.2,851.6,115.5,929.5,967.2,1234.0,8.506800715912618,87.93030795852015,25.018756420000003,91.7528125,4.182191604991001,29.754318562816596
